SECURITY_INNER_CODE,SECURITY_CODE,SECUCODE,TRADE_DATE,SECURITY_NAME_ABBR,SUPERDEAL_INFLOW,SUPERDEAL_OUTFLOW,PRIME_INFLOW,CLOSE_PRICE,CHANGE_RATE,TRADE_MARKET_CODE,TURNOVERRATE,PRIME_COST,PE_DYNAMIC,PRIME_COST_20DAYS,PRIME_COST_60DAYS,ORG_PARTICIPATE,PARTICIPATE_TYPE,BIGDEAL_INFLOW,BIGDEAL_OUTFLOW,BUY_SUPERDEAL_RATIO,BUY_BIGDEAL_RATIO,RATIO,RATIO_3DAYS,RATIO_50DAYS,TOTALSCORE,RANK_UP,RANK,FOCUS,SECURITY_TYPE_CODE
1000614632,300604,300604.SZ,2025-02-11 00:00:00,长川科技,59115680,143331729,-135118162,45.49,0.42,069001002002,2.14,45.157997033915,59.83,44.011724153449,46.66909407443,0.339112,2,258451727,309353840,0.0612,0.2674,0.3286,0.3541,0.34291,67.08683813,3,1199,87.6,058001001
1000506168,300605,300605.SZ,2025-02-11 00:00:00,恒锋信息,2655702,2599467,-3711275,13.47,0.6,069001002002,2.64,13.384886499345,-67.5,12.032313903032,12.983190176579,0.1325976,1,5489921,9257431,0.038,0.0786,0.1166,0.171433333333,0.114338,53.33368125,1981,4649,72,058001001
1000399216,300606,300606.SZ,2025-02-11 00:00:00,金太阳,3611255,2335618,-3109471,19.23,2.51,069001002002,3.28,18.743554236992,99.07,18.514261202308,21.273848840629,0.175254,1,6917742,11302850,0.0613,0.1174,0.1787,0.1696,0.17512,54.73527675,-360,4419,66,058001001
1000506170,300607,300607.SZ,2025-02-11 00:00:00,拓斯达,446108800,363820480,86464320,36.28,2.2,069001002002,24.03,32.958022247036,1438.26,31.875999224102,29.98407818566,0.4020268,3,739251680,735075680,0.1618,0.2682,0.43,0.380133333333,0.364934,63.57341821,-2058,2098,87.2,058001001
1000506173,300608,300608.SZ,2025-02-11 00:00:00,思特奇,26252605,62935474,-73885345,13.8,1.62,069001002002,6.66,13.601336976471,-22.14,12.351947229921,12.69269620407,0.2629,2,110573853,147776329,0.0475,0.1999,0.2474,0.305033333333,0.23845,57.94090419,3215,3700,88.4,058001001
1000576698,300609,300609.SZ,2025-02-11 00:00:00,汇纳科技,18133718,22206706,-9711404,27.84,0.29,069001002002,2.49,28.173911204994,-64.68,24.379255093171,27.34041327092,0.2843544,2,49205397,54843813,0.0765,0.2076,0.2841,0.295266666667,0.268622,62.85049449,-486,2303,77.2,058001001
1000506153,300610,300610.SZ,2025-02-11 00:00:00,晨化股份,0,0,-4042642,10.12,-0.59,069001002002,0.93,10.17194696595,24.47,9.780983835855,10.346968453046,0.0830908,0,1126492,5169134,0,0.039,0.039,0.1316,0.120554,60.69579668,1145,2954,64.4,058001001
1000576706,300611,300611.SZ,2025-02-11 00:00:00,美力科技,8497497,5221004,6767539,12.5,-1.34,069001002002,3.58,12.457160864398,25.51,11.616148448741,11.440806152852,0.2236572,1,23604414,20113368,0.0637,0.1769,0.2406,0.2367,0.161736,75.64642961,-264,156,69.2,058001001
1000498850,300612,300612.SZ,2025-02-11 00:00:00,宣亚国际,17403553,34773374,-24673494,17.31,-1.37,069001002002,3.53,17.491052759777,-104.42,16.037341312024,17.858413436222,0.2687076,2,65196810,72500483,0.0564,0.2111,0.2675,0.2573,0.288838,59.58949295,2084,3263,82.4,058001001
1000501669,300613,300613.SZ,2025-02-11 00:00:00,富瀚微,97115045,236676285,-227069240,67.36,-2.22,069001002002,5.22,70.170637813136,63.07,60.907594918877,58.907823497861,0.3593096,2,410082368,497590368,0.0646,0.2728,0.3374,0.4169,0.327698,71.66648156,343,479,90.4,058001001
1001899004,300614,300614.SZ,2025-02-11 00:00:00,百川畅银,0,0,1095494,9.58,0.21,069001002002,0.68,9.575751750034,-15.51,9.120217680878,10.956283763958,0.1213452,1,2431593,1336099,0,0.1079,0.1079,0.1405,0.126226,53.33092304,-344,4651,63.2,058001001
1000389011,300615,300615.SZ,2025-02-11 00:00:00,欣天科技,17697615,9455638,17958798,13.56,1.95,069001002002,8.93,13.248396312034,-111.35,14.258888424296,14.107768223727,0.2877092,2,67609517,57892696,0.0658,0.2512,0.317,0.279,0.227546,61.14486625,-1311,2820,69.6,058001001
1000501671,300616,300616.SZ,2025-02-11 00:00:00,尚品宅配,3106043,4101707,-6806871,12.76,-3.19,069001002002,3.36,13.427282770166,-18.82,12.073580826925,13.813809502361,0.199754,1,30851319,36662526,0.0177,0.1761,0.1938,0.2161,0.19012,56.42390627,868,4074,67.2,058001001
1000453071,300617,300617.SZ,2025-02-11 00:00:00,安靠智电,20010775,4803334,17354258,31.22,-0.26,069001002002,2.62,31.025069148161,28.82,29.43997709175,28.914082541502,0.303514,2,52747604,50600787,0.0979,0.258,0.3559,0.2794,0.20872,72.11753883,-2134,430,73.6,058001001
1000501670,300618,300618.SZ,2025-02-11 00:00:00,寒锐钴业,3326457,18312561,-16779101,33.45,-0.56,069001002002,1.0,33.715714563731,46.27,33.227679152431,37.493406667861,0.2445284,1,40128800,41921797,0.0182,0.2193,0.2375,0.261133333333,0.237192,62.02805831,1051,2544,75.6,058001001
1000399215,300619,300619.SZ,2025-02-11 00:00:00,金银河,0,0,323742,23.2,-0.64,069001002002,0.57,23.247321351368,-237.23,22.486231963198,26.78909419537,0.198306,1,8689888,8366146,0,0.2309,0.2309,0.1726,0.15538,58.60247466,-715,3515,65.2,058001001
1000576697,300620,300620.SZ,2025-02-11 00:00:00,光库科技,20341837,31358038,-12232214,49.07,-0.26,069001002002,1.93,49.542404185656,164.32,48.239060844004,48.654397570163,0.2964992,2,141966117,143182130,0.0363,0.2536,0.2899,0.3117,0.290196,65.23017941,495,1630,81.2,058001001
1000576696,300621,300621.SZ,2025-02-11 00:00:00,维业股份,0,0,-2683173,9.14,-1.08,069001002002,1.11,9.232007474486,107.13,8.918600010848,10.972962392586,0.0864824,0,2106822,4789995,0,0.0656,0.0656,0.08,0.148412,56.33126021,278,4090,62.4,058001001
1000576704,300622,300622.SZ,2025-02-11 00:00:00,博士眼镜,69686874,72650387,-48855428,51.63,0.82,069001002002,11.87,52.298149812355,81.31,48.689028412194,49.153056102357,0.308748,2,264206133,310098048,0.0617,0.2341,0.2958,0.298833333333,0.35599,64.97225941,-266,1711,84,058001001
1000350710,300623,300623.SZ,2025-02-11 00:00:00,捷捷微电,15737253,38345301,-82451264,35.93,5.49,069001002002,5.67,34.126567941796,67.41,33.463042016325,36.146364278165,0.2620232,2,145918053,205761269,0.0226,0.2095,0.2321,0.289966666667,0.294916,62.37469286,89,2426,78.4,058001001
1000361232,300624,300624.SZ,2025-02-11 00:00:00,万兴科技,261993710,391790944,-297734898,77.39,0.99,069001002002,8.37,78.028616099575,-2041.3,71.146084601671,70.455928702213,0.3840512,2,662256480,830194144,0.1063,0.2688,0.3751,0.397466666667,0.386306,63.42911548,1093,2143,93.2,058001001
1000576693,300625,300625.SZ,2025-02-11 00:00:00,三雄极光,0,0,-250810,11.76,-0.17,069001002002,0.5,11.728817340067,40.15,11.285831403817,12.35347513652,0.1059888,1,1993315,2244125,0,0.1192,0.1192,0.0896,0.097544,56.23611523,-329,4119,62.8,058001001
1000576691,300626,300626.SZ,2025-02-11 00:00:00,华瑞股份,0,0,-2502734,9.66,-0.1,069001002002,0.99,9.621645190355,78.5,9.174476435376,10.352724708466,0.1197956,1,3793343,6296077,0,0.11,0.11,0.1161,0.149828,52.56717121,570,4756,64.4,058001001
1000576687,300627,300627.SZ,2025-02-11 00:00:00,华测导航,6828954,31062465,-17839008,44.2,-0.11,069001002002,0.93,44.329594037199,46.74,40.481848104348,39.835858619342,0.295682,2,105320535,98926032,0.0173,0.2666,0.2839,0.336933333333,0.26326,76.1091538,74,133,81.6,058001001
1000576677,300628,300628.SZ,2025-02-11 00:00:00,亿联网络,8646196,19612198,-8283686,42.85,1.13,069001002002,0.82,42.241705275043,19.67,40.546513271297,39.636816838544,0.2848476,2,102917340,100235024,0.0226,0.2695,0.2921,0.311566666667,0.226638,75.31605943,-46,182,82,058001001
1000492261,300629,300629.SZ,2025-02-11 00:00:00,新劲刚,3040807,1438745,7565235,21.28,0.33,069001002002,1.61,21.144206844488,35.59,20.055356857447,22.79422808206,0.3148736,2,41176204,35213031,0.0217,0.2934,0.3151,0.322866666667,0.302318,68.87113928,-1395,857,67.6,058001001
1000576673,300630,300630.SZ,2025-02-11 00:00:00,*ST普利,0,0,-5057078,2.65,-4.68,069001002005,9.09,2.769446592021,-9.14,3.168355798389,6.460527146845,0.19149745098,1,23507474,28564552,0,0.1563,0.1563,0.2276,0.225337254902,46.67122251,-12,5119,75.2,058001001
